Date,Open,Open_,High,High_,Low,Low_,Close,CC,CO,Volume
20160505,147.5,0.003401361,148.5,-0.003355705,146,-0.003412969,147.5,0.5,0,9466
20160506,148.5,0.006779661,148.5,0,147,0.006849315,148,0.5,-0.5,8372
20160509,148.5,0,149,0.003367003,146.5,-0.003401361,147.5,-0.5,-1,12836
20160510,147,-0.01010101,148,-0.006711409,146.5,0,147,-0.5,0,8956
20160511,148.5,0.010204082,149,0.006756757,146.5,0,147,0,-1.5,11477
20160512,147,-0.01010101,148,-0.006711409,146,-0.003412969,146,-1,-1,7183
20160513,145,-0.013605442,145.5,-0.016891892,143,-0.020547945,144,-2,-1,19508
20160516,143,-0.013793103,145.5,0,143,0,144.5,0.5,1.5,9667
20160517,145.5,0.017482517,147,0.010309278,145,0.013986014,147,2.5,1.5,8501
20160518,146,0.003436426,147,0,145,0,147,0,1,9452
20160519,148,0.01369863,148.5,0.010204082,145.5,0.003448276,147,0,-1,8803
20160520,147.5,-0.003378378,149.5,0.006734007,147,0.010309278,148.5,1.5,1,9513
20160523,150.5,0.020338983,154.5,0.033444816,149.5,0.017006803,154,5.5,3.5,16914
20160524,152.5,0.013289037,153.5,-0.006472492,151,0.010033445,151,-3,-1.5,8713
20160525,153.5,0.006557377,155,0.009771987,152.5,0.009933775,154.5,3.5,1,10548
20160526,154.5,0.006514658,155,0,153.5,0.006557377,155,0.5,0.5,8493
20160527,156,0.009708738,156.5,0.009677419,154.5,0.006514658,156.5,1.5,0.5,7672
20160530,157,0.006410256,158,0.009584665,155,0.003236246,157,0.5,0,11762
20160531,156.5,-0.003184713,157.5,-0.003164557,155,0,156.5,-0.5,0,11056
20160601,156,-0.003194888,159,0.00952381,156,0.006451613,159,2.5,3,9500
20160602,159,0.019230769,160,0.006289308,158,0.012820513,159,0,0,7933
20160603,159,0,160.5,0.003125,159,0.006329114,160.5,1.5,1.5,10969
20160604,160,0.006289308,160,-0.003115265,159.5,0.003144654,160,-0.5,0,1428
20160606,161,0.00625,162,0.0125,160,0.003134796,161,1,0,8667
20160607,161.5,0.00310559,163.5,0.009259259,161,0.00625,162,1,0.5,12269
20160608,164,0.015479876,166,0.01529052,163.5,0.01552795,165.5,3.5,1.5,15173
20160613,161,-0.018292683,162.5,-0.021084337,161,-0.01529052,162,-3.5,1,14466
20160614,161,0,163,0.003076923,161,0,162,0,1,10951
20160615,162,0.00621118,163,0,161,0,163,1,1,9142
20160616,161.5,-0.00308642,162.5,-0.003067485,159.5,-0.00931677,160.5,-2.5,-1,7324
20160617,162.5,0.00619195,164.5,0.012307692,162,0.015673981,163,2.5,0.5,9885
20160620,164.5,0.012307692,165,0.003039514,163,0.00617284,163,0,-1.5,8639
20160621,164,-0.003039514,165.5,0.003030303,163.5,0.003067485,165.5,2.5,1.5,10369
20160622,164.5,0.00304878,166,0.003021148,163.5,0,166,0.5,1.5,8180
20160623,165.5,0.006079027,166,0,164,0.003058104,164,-2,-1.5,8298
20160624,164,-0.009063444,164,-0.012048193,154.5,-0.057926829,159,-5,-5,27192
20160627,154.5,-0.057926829,156,-0.048780488,154,-0.003236246,155.5,-3.5,1,17925
20160628,155.5,0.006472492,157.5,0.009615385,155,0.006493506,157,1.5,1.5,12685
20160629,158.5,0.019292605,160,0.015873016,158,0.019354839,159,2,0.5,12754
20160630,161,0.015772871,163,0.01875,159.5,0.009493671,162.5,3.5,1.5,14833
20160701,164.5,0.02173913,166,0.018404908,163.5,0.02507837,166,3.5,1.5,13186
20160704,165.5,0.006079027,166.5,0.003012048,164.5,0.006116208,166,0,0.5,9484
20160705,165,-0.003021148,165.5,-0.006006006,164,-0.003039514,164,-2,-1,6930
20160706,163,-0.012121212,163,-0.01510574,160.5,-0.021341463,161.5,-2.5,-1.5,12026
20160707,163.5,0.003067485,165,0.012269939,163,0.015576324,164.5,3,1,9726
20160711,170,0.039755352,170.5,0.033333333,168.5,0.033742331,170,5.5,0,14951
20160712,171,0.005882353,171.5,0.005865103,169.5,0.005934718,171,1,0,15021
20160713,169.5,-0.00877193,170,-0.008746356,167,-0.014749263,168.5,-2.5,-1,17109
20160714,167,-0.014749263,170,0,167,0,169,0.5,2,12414
20160715,168,0.005988024,169.5,-0.002941176,166.5,-0.002994012,169.5,0.5,1.5,13283
20160718,168,0,170,0.002949853,168,0.009009009,169.5,0,1.5,6898
20160719,170.5,0.014880952,170.5,0.002941176,169,0.005952381,170.5,1,0,12495
20160720,170,-0.002932551,170.5,0,169,0,170,-0.5,0,14235
20160721,171,0.005882353,172,0.008797654,170,0.00591716,172,2,1,12625
20160722,172,0.005847953,172,0,170.5,0.002941176,171,-1,-1,9643
20160725,172,0,173,0.005813953,169,-0.008797654,171.5,0.5,-0.5,9757
20160726,172,0,173,0,171.5,0.014792899,173,1.5,1,12399
20160727,175,0.01744186,176,0.01734104,174.5,0.017492711,175,2,0,10896
20160728,175,0,176.5,0.002840909,173,-0.008595989,176.5,1.5,1.5,9647
20160729,177,0.011428571,177,0.002832861,172.5,-0.002890173,172.5,-4,-4.5,8686
20160801,175,-0.011299435,177,0,174.5,0.011594203,177,4.5,2,11713
20160802,177.5,0.014285714,177.5,0.002824859,175.5,0.005730659,176,-1,-1.5,6097
20160803,172.5,-0.028169014,174,-0.01971831,172,-0.01994302,172.5,-3.5,0,8267
20160804,173,0.002898551,174.5,0.002873563,172.5,0.002906977,174.5,2,1.5,4503
20160805,175,0.011560694,177.5,0.017191977,174,0.008695652,177,2.5,2,8212
20160808,178,0.017142857,178,0.002816901,176.5,0.014367816,178,1,0,5032
20160809,178.5,0.002808989,179.5,0.008426966,177,0.002832861,178.5,0.5,0,6767
20160810,179,0.00280112,179.5,0,178,0.005649718,179.5,1,0.5,5979
20160811,177.5,-0.008379888,178,-0.008356546,175.5,-0.014044944,176.5,-3,-1,9250
20160812,178.5,0.005633803,178.5,0.002808989,177,0.008547009,177.5,1,-1,7860
20160815,178.5,0,179,0.00280112,177.5,0.002824859,179,1.5,0.5,4907
20160816,178,-0.00280112,179,0,175,-0.014084507,175.5,-3.5,-2.5,10692
20160817,177,-0.005617978,177.5,-0.008379888,176,0.005714286,177,1.5,0,8245
20160818,176,-0.005649718,176.5,-0.005633803,175,-0.005681818,176,-1,0,9690
20160819,177,0.005681818,177.5,0.005665722,174,-0.005714286,174.5,-1.5,-2.5,8233
20160822,173,-0.02259887,174,-0.01971831,171.5,-0.014367816,173,-1.5,0,7785
20160823,174,0.005780347,175,0.005747126,173.5,0.011661808,174,1,0,6651
20160824,175,0.005747126,175.5,0.002857143,173.5,0,173.5,-0.5,-1.5,4272
20160825,175,0,177,0.008547009,174.5,0.005763689,177,3.5,2,8613
20160826,175,0,177,0,175,0.00286533,177,0,2,4529
20160829,175,0,177,0,174,-0.005714286,176.5,-0.5,1.5,5102
20160830,176,0.005714286,176.5,-0.002824859,174,0,174.5,-2,-1.5,5559
20160831,176.5,0.002840909,177,0.002832861,174.5,0.002873563,176,1.5,-0.5,6850
20160901,176,-0.002832861,176,-0.005649718,173,-0.008595989,173.5,-2.5,-2.5,7279
20160902,176.5,0.002840909,176.5,0.002840909,174,0.005780347,174.5,1,-2,6315
20160905,176.5,0,177.5,0.005665722,176.5,0.014367816,176.5,2,0,6513
20160906,177,0.002832861,179,0.008450704,176.5,0,179,2.5,2,9498
20160907,180.5,0.019774011,185,0.033519553,180,0.019830028,184,5,3.5,19497
20160908,182.5,0.011080332,184.5,-0.002702703,182.5,0.013888889,183,-1,0.5,10923
20160909,181,-0.008219178,181,-0.01897019,179.5,-0.016438356,179.5,-3.5,-1.5,8177
20160910,177,-0.022099448,179,-0.011049724,176,-0.019498607,178,-1.5,1,5804
20160912,177.5,0.002824859,177.5,-0.008379888,174,-0.011363636,175,-3,-2.5,14891
20160913,176.5,-0.005633803,176.5,-0.005633803,173.5,-0.002873563,175,0,-1.5,11379
20160914,174,-0.014164306,176,-0.002832861,173.5,0,173.5,-1.5,-0.5,11689
20160919,179.5,0.031609195,183,0.039772727,178.5,0.028818444,182.5,9,3,19155
20160920,182,0.013927577,183.5,0.00273224,181.5,0.016806723,183,0.5,1,8140
20160921,181,-0.005494505,184,0.002724796,180.5,-0.005509642,184,1,3,8483
20160922,185,0.022099448,185.5,0.008152174,183.5,0.016620499,185.5,1.5,0.5,8939
20160923,185,0,187.5,0.010781671,184.5,0.005449591,187.5,2,2.5,9042
20160926,183.5,-0.008108108,185,-0.013333333,183,-0.008130081,183,-4.5,-0.5,7882
20160929,185.5,0.010899183,187.5,0.013513514,185.5,0.013661202,185.5,2.5,0,15213
20160930,185.5,0,186.5,-0.005333333,182.5,-0.016172507,182.5,-3,-3,11548
20161003,186,0.002695418,186.5,0,184.5,0.010958904,186,3.5,0,6733
20161004,185,-0.005376344,187,0.002680965,185,0.002710027,187,1,2,6392
20161005,186,0.005405405,186,-0.005347594,184.5,-0.002702703,186,-1,0,6115
20161006,185,-0.005376344,187.5,0.008064516,185,0.002710027,187.5,1.5,2.5,6847
20161007,188,0.016216216,188,0.002666667,186,0.005405405,188,0.5,0,6887
20161011,191,0.015957447,191,0.015957447,186,0,187.5,-0.5,-3.5,10879
20161012,186.5,-0.023560209,190,-0.005235602,186,0,189.5,2,3,7805
20161013,190.5,0.021447721,191,0.005263158,187,0.005376344,188.5,-1,-2,13817
20161014,187,-0.018372703,189,-0.010471204,186.5,-0.002673797,188,-0.5,1,13583
20161017,186.5,-0.002673797,187.5,-0.007936508,185,-0.008042895,186.5,-1.5,0,9908
20161018,186.5,0,187,-0.002666667,185.5,0.002702703,187,0.5,0.5,8180
20161019,187.5,0.00536193,189.5,0.013368984,187.5,0.010781671,189.5,2.5,2,8834
20161020,189.5,0.010666667,190.5,0.005277045,189,0.008,190.5,1,1,4787
20161021,191,0.007915567,192,0.007874016,188.5,-0.002645503,188.5,-2,-2.5,8198
20161024,191,0,191,-0.005208333,189.5,0.00530504,191,2.5,0,5860
20161025,192,0.005235602,193,0.010471204,191,0.007915567,193,2,1,7455
20161026,190.5,-0.0078125,192.5,-0.002590674,190.5,-0.002617801,191.5,-1.5,1,7594
20161027,191.5,0.005249344,191.5,-0.005194805,188.5,-0.010498688,188.5,-3,-3,9385
20161028,189.5,-0.010443864,190,-0.007832898,188.5,0,189.5,1,0,6562
20161031,189,-0.002638522,190.5,0.002631579,186.5,-0.01061008,188.5,-1,-0.5,6560
20161101,188.5,-0.002645503,189.5,-0.005249344,187.5,0.00536193,189.5,1,1,5917
20161102,187.5,-0.00530504,188,-0.007915567,186,-0.008,186,-3.5,-1.5,7380
20161103,185.5,-0.010666667,186.5,-0.007978723,184.5,-0.008064516,184.5,-1.5,-1,7976
20161104,184.5,-0.005390836,186,-0.002680965,184,-0.002710027,184.5,0,0,7260
20161107,186.5,0.010840108,189,0.016129032,186,0.010869565,189,4.5,2.5,7934
20161108,190,0.018766756,190,0.005291005,188,0.010752688,188.5,-0.5,-1.5,6225
20161109,190,0,190.5,0.002631579,182,-0.031914894,182,-6.5,-8,22278
20161110,187,-0.015789474,188,-0.01312336,185.5,0.019230769,185.5,3.5,-1.5,13292
20161111,181.5,-0.029411765,183,-0.026595745,181,-0.02425876,181.5,-4,0,19522
20161114,181,-0.002754821,182,-0.005464481,180,-0.005524862,180.5,-1,-0.5,14717
20161115,179.5,-0.008287293,182,0,179,-0.005555556,180,-0.5,0.5,11312
20161116,180.5,0.005571031,183,0.005494505,180,0.005586592,180,0,-0.5,10900
20161117,182,0.008310249,182.5,-0.00273224,180.5,0.002777778,181.5,1.5,-0.5,5234
20161118,181.5,-0.002747253,181.5,-0.005479452,180,-0.002770083,181,-0.5,-0.5,6949
20161121,180.5,-0.005509642,181.5,0,180,0,181,0,0.5,6391
20161122,182,0.008310249,185,0.019283747,181.5,0.008333333,184,3,2,10086
20161123,184.5,0.013736264,186.5,0.008108108,184,0.013774105,185.5,1.5,1,9806
20161124,184,-0.002710027,185,-0.008042895,183,-0.005434783,183,-2.5,-1,6354
20161125,182.5,-0.008152174,183.5,-0.008108108,182,-0.005464481,182,-1,-0.5,4117
20161128,181.5,-0.005479452,184,0.002724796,181.5,-0.002747253,184,2,2.5,6548
20161129,183.5,0.011019284,185,0.005434783,182,0.002754821,182,-2,-1.5,6259
20161130,181.5,-0.010899183,183,-0.010810811,181.5,-0.002747253,183,1,1.5,5767
20161201,182,0.002754821,183,0,181.5,0,183,0,1,6514
20161202,179,-0.016483516,179.5,-0.019125683,178,-0.019283747,178,-5,-1,21618
20161205,178,-0.005586592,180,0.002785515,178,0,179,1,1,10198
20161206,181,0.016853933,183,0.016666667,180.5,0.014044944,182,3,1,10430
20161207,183,0.011049724,183.5,0.00273224,181.5,0.005540166,181.5,-0.5,-1.5,5127
20161208,184,0.005464481,185.5,0.010899183,183,0.008264463,185.5,4,1.5,11258
20161209,186,0.010869565,186,0.002695418,184.5,0.008196721,186,0.5,0,8116
20161212,186,0,187,0.005376344,184,-0.002710027,185,-1,-1,6853
20161213,186.5,0.002688172,186.5,-0.002673797,184.5,0.002717391,186,1,-0.5,7561
20161214,186.5,0,187.5,0.00536193,185.5,0.005420054,187.5,1.5,1,6485
20161215,185,-0.008042895,187.5,0,184.5,-0.005390836,187,-0.5,2,6135
20161216,185.5,0.002702703,187,-0.002666667,185,0.002710027,185,-2,-0.5,7994
20161219,184,-0.008086253,184.5,-0.013368984,182.5,-0.013513514,182.5,-2.5,-1.5,7956
20161220,181,-0.016304348,182.5,-0.010840108,180,-0.01369863,182.5,0,1.5,10223
20161221,181,0,182,-0.002739726,180,0,180,-2.5,-1,11377
20161222,180,-0.005524862,180.5,-0.008241758,179,-0.005555556,179,-1,-1,10768
20161223,179,-0.005555556,180,-0.002770083,178.5,-0.002793296,178.5,-0.5,-0.5,9298
20161226,179,0,180,0,179,0.00280112,179.5,1,0.5,3404
20161227,180,0.005586592,180.5,0.002777778,179.5,0.002793296,180,0.5,0,4246
20161228,181,0.005555556,182,0.008310249,180.5,0.005571031,182,2,1,7026
20161229,180,-0.005524862,181.5,-0.002747253,180,-0.002770083,180,-2,0,10947
20161230,181,0.005555556,182.5,0.005509642,180,0,181.5,1.5,0.5,11638
20170103,181.5,0.002762431,183.5,0.005479452,181,0.005555556,183,1.5,1.5,8743
20170104,183,0.008264463,184,0.002724796,181.5,0.002762431,183,0,0,8476
20170105,182,-0.005464481,183.5,-0.002717391,181.5,0,183.5,0.5,1.5,8297
20170106,184,0.010989011,184.5,0.005449591,183.5,0.011019284,184,0.5,0,9659
